Zairyo_Kosei_ID,Shiyo_ID,Sort_No,Zairyo_ID,Zairyo_Keisu,Teisyaku,Tani_ID,Konpo_Calc_Flg,Setsumei,Zairyo_Keisu_Default,Teisyaku_Default,Tani_ID_Default,Konpo_Calc_Flg_Default,Setsumei_Default,Zairyo_Tanka_Ref_Col1,Zairyo_Tanka_Ref_Col2,Zairyo_Tanka_Ref_Col3,Zairyo_Tanka_Ref_Col4,Sort_No_Default,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
10128,510704011,1,51040011,11.1111,,17,1,,11.1111,,17,1,,,,,,1,1,0,0,,
10129,510704012,1,51040012,5.5556,,17,1,,5.5556,,17,1,,,,,,1,1,0,0,,
10130,510704043,1,51040043,1.2346,,17,1,,1.2346,,17,1,,,,,,1,1,0,0,,
10131,510704044,1,51040044,29.6296,,17,1,,29.6296,,17,1,,,,,,1,1,0,0,,
10132,510704014,1,51040014,22.7752,,17,1,,22.7752,,17,1,,,,,,1,1,0,0,,
10133,510704045,1,51040045,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10134,510704015,1,51040015,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10135,510704017,1,51040017,2.392,,17,1,,2.392,,17,1,,,,,,1,1,0,0,,
10136,510704046,1,51040046,2.7778,,17,1,,2.7778,,17,1,,,,,,1,1,0,0,,
10137,510704047,1,51040047,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10138,510704019,1,51040019,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10139,510704020,1,51040020,11.1111,,17,1,,11.1111,,17,1,,,,,,1,1,0,0,,
10140,510704021,1,51040021,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10141,510704022,1,51040022,14.8148,,17,1,,14.8148,,17,1,,,,,,1,1,0,0,,
10142,510704023,1,51040023,4.4092,,17,1,,4.4092,,17,1,,,,,,1,1,0,0,,
10143,510704048,1,51040048,29.6296,,17,1,,29.6296,,17,1,,,,,,1,1,0,0,,
10144,510704025,1,51040025,3.0754,,17,1,,3.0754,,17,1,,,,,,1,1,0,0,,
10145,510704026,1,51040026,7.1759,,17,1,,7.1759,,17,1,,,,,,1,1,0,0,,
10146,510704049,1,51040049,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10147,510704027,1,51040027,0.2762,,17,-1,,0.2762,,17,-1,,,,,,1,1,0,0,,
10148,510704028,1,51040028,11.1111,,17,1,,11.1111,,17,1,,,,,,1,1,0,0,,
10149,510704050,1,51040050,2.7778,,17,1,,2.7778,,17,1,,,,,,1,1,0,0,,
10150,510704051,1,51040051,22.8571,,17,1,,22.8571,,17,1,,,,,,1,1,0,0,,
