Zairyo_Kosei_ID,Shiyo_ID,Sort_No,Zairyo_ID,Zairyo_Keisu,Teisyaku,Tani_ID,Konpo_Calc_Flg,Setsumei,Zairyo_Keisu_Default,Teisyaku_Default,Tani_ID_Default,Konpo_Calc_Flg_Default,Setsumei_Default,Zairyo_Tanka_Ref_Col1,Zairyo_Tanka_Ref_Col2,Zairyo_Tanka_Ref_Col3,Zairyo_Tanka_Ref_Col4,Sort_No_Default,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
6903,322120001,2,2301002,0.44,,,,,0.44,,,,,,,,,2,1,0,0,,
6904,322120001,3,2301004,0.6,,,,,0.6,,,,,,,,,3,1,0,0,,
6905,322130001,1,2200001,0.604,,,,,0.604,,,,,,,,,1,1,0,0,,
6906,322130001,2,2301002,0.44,,,,,0.44,,,,,,,,,2,1,0,0,,
6907,322130001,3,2301004,0.6,,,,,0.6,,,,,,,,,3,1,0,0,,
6908,323100001,1,2160001,0.1099,,,,,0.1099,,,,,,,,,1,1,0,0,,
6909,323100001,2,2301002,0.22,,,,,0.22,,,,,,,,,2,1,0,0,,
6910,323100001,3,2301004,0.3,,,,,0.3,,,,,,,,,3,1,0,0,,
6911,323100002,1,2160001,0.1832,,,,,0.1832,,,,,,,,,1,1,0,0,,
6912,323100002,2,2301002,0.22,,,,,0.22,,,,,,,,,2,1,0,0,,
6913,323100002,3,2301004,0.3,,,,,0.3,,,,,,,,,3,1,0,0,,
6914,323100003,1,2160001,0.2747,,,,,0.2747,,,,,,,,,1,1,0,0,,
6915,323100003,2,2301002,0.33,,,,,0.33,,,,,,,,,2,1,0,0,,
6916,323100003,3,2301004,0.45,,,,,0.45,,,,,,,,,3,1,0,0,,
6917,323100004,1,2160001,0.3704,,,,,0.3704,,,,,,,,,1,1,0,0,,
6918,323100004,2,2301002,0.33,,,,,0.33,,,,,,,,,2,1,0,0,,
6919,323100004,3,2301004,0.45,,,,,0.45,,,,,,,,,3,1,0,0,,
6920,323100005,1,2160001,0.5495,,,,,0.5495,,,,,,,,,1,1,0,0,,
6921,323100005,2,2301002,0.44,,,,,0.44,,,,,,,,,2,1,0,0,,
6922,323100005,3,2301004,0.45,,,,,0.45,,,,,,,,,3,1,0,0,,
6923,323100006,1,2160001,0.7778,,,,,0.7778,,,,,,,,,1,1,0,0,,
6924,323100006,2,2301002,0.55,,,,,0.55,,,,,,,,,2,1,0,0,,
6925,323100006,3,2301004,0.6,,,,,0.6,,,,,,,,,3,1,0,0,,
6926,323101001,1,2160003,0.1099,,,,,0.1099,,,,,,,,,1,1,0,0,,
6927,323101001,2,2301002,0.22,,,,,0.22,,,,,,,,,2,1,0,0,,
