Shiyo_Shubetsu_Kbn_ID,Koshu_ID,Shiyo_Shubetsu_ID,Seko_Tanka_Kbn_ID,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF,Shiyo_Shubetsu_Nm
162,12,462,652,1,0,0,,,人工芝
163,12,471,654,1,0,0,,,床下地材
164,12,472,653,1,0,0,,,腰壁・他ｼｰﾄ
165,12,491,653,1,0,0,,,ｿﾌﾄ巾木
166,12,492,653,1,0,0,,,ｻｻﾗ巾木
167,12,493,653,1,0,0,,,ﾓｰﾙ･見切･他部材
168,12,494,653,1,0,0,,,ｴｱｺﾝ排水･他部材
169,13,401,651,1,0,0,,,ｺﾝﾎﾟｼﾞｼｮﾝﾋﾞﾆﾙ床ﾀｲﾙ
170,13,402,651,1,0,0,,,ｺﾝﾎﾟｼﾞｼｮﾝﾋﾞﾆﾙ床ﾀｲﾙ(特殊機能)
171,13,403,651,1,0,0,,,単層ﾋﾞﾆﾙ床ﾀｲﾙ
172,13,404,651,1,0,0,,,複層ﾋﾞﾆﾙ床ﾀｲﾙ
173,13,405,651,1,0,0,,,複層ﾋﾞﾆﾙ床ﾀｲﾙ(特殊機能)
174,13,406,651,1,0,0,,,置敷ﾋﾞﾆﾙ床ﾀｲﾙ
175,13,407,651,1,0,0,,,薄型置敷きﾋﾞﾆﾙ床ﾀｲﾙ
176,13,408,651,1,0,0,,,多機能ﾌﾟﾘﾝﾄﾀｲﾙ
177,13,409,651,1,0,0,,,織物ﾋﾞﾆﾙ床ﾀｲﾙ
178,13,410,651,1,0,0,,,高機能ﾀｲﾙ
179,13,411,651,1,0,0,,,ﾘﾉﾘｳﾑ床ﾀｲﾙ
180,13,412,651,1,0,0,,,ｺﾙｸﾀｲﾙ
181,13,413,651,1,0,0,,,ﾗﾊﾞｰﾀｲﾙ
182,13,414,651,1,0,0,,,視覚障がい者誘導用ﾀｲﾙ
183,13,421,651,1,0,0,,,単層ﾋﾞﾆﾙ床ｼｰﾄ
184,13,422,651,1,0,0,,,単層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能)
185,13,423,651,1,0,0,,,複層ﾋﾞﾆﾙ床ｼｰﾄ
186,13,424,651,1,0,0,,,複層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能)
187,13,425,651,1,0,0,,,発泡複層ﾋﾞﾆﾙ床ｼｰﾄ
188,13,426,651,1,0,0,,,発泡複層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能)
189,13,427,651,1,0,0,,,ｸｯｼｮﾝﾌﾛｱ
190,13,428,651,1,0,0,,,織物ﾋﾞﾆﾙ床ｼｰﾄ
191,13,429,651,1,0,0,,,長尺ｼｰﾄ(特殊機能)
192,13,430,651,1,0,0,,,ﾘﾉﾘｳﾑ床ｼｰﾄ
193,13,431,651,1,0,0,,,防滑性ﾋﾞﾆﾙ床ｼｰﾄ
194,13,432,651,1,0,0,,,防滑性ﾋﾞﾆﾙ床ｼｰﾄ(階段用)
195,13,441,652,1,0,0,,,ﾀｲﾙｶｰﾍﾟｯﾄ
196,13,442,652,1,0,0,,,ﾀｲﾙｶｰﾍﾟｯﾄ(特殊機能)
197,13,443,652,1,0,0,,,ﾌﾟﾘﾝﾄｶｰﾍﾟｯﾄﾀｲﾙ
198,13,444,652,1,0,0,,,ﾌｧﾌﾞﾃｯｸﾀｲﾙ
199,13,445,652,1,0,0,,,ﾌｧﾌﾞﾘｯｸﾌﾛｱ
200,13,446,652,1,0,0,,,住宅用ﾎｰﾑﾀｲﾙ
201,13,447,652,1,0,0,,,視覚障がい者誘導用ﾀｲﾙｶｰﾍﾟｯﾄ
202,13,451,652,1,0,0,,,ｱｷｽﾐﾝｽﾀｰｶｰﾍﾟｯﾄ
203,13,452,652,1,0,0,,,ｳｲﾙﾄﾝｶｰﾍﾟｯﾄ
204,13,453,652,1,0,0,,,ﾀﾌﾃｯﾄﾞｶｰﾍﾟｯﾄ
205,13,454,652,1,0,0,,,ｳｰﾙｶｰﾍﾟｯﾄ
206,13,455,652,1,0,0,,,ｶﾗｰﾃｯｸ
207,13,456,652,1,0,0,,,ｸﾞﾗﾌｨｶﾛｰﾙｶｰﾍﾟｯﾄ
208,13,457,652,1,0,0,,,ﾎﾟﾘﾌﾟﾛﾋﾟﾚﾝｶｰﾍﾟｯﾄ
209,13,458,652,1,0,0,,,ﾍﾞｰｼｯｸｶｰﾍﾟｯﾄ
210,13,459,652,1,0,0,,,ｶﾗｰｺﾚｸｼｮﾝ
211,13,460,652,1,0,0,,,機能性ｶｰﾍﾟｯﾄ
212,13,461,652,1,0,0,,,ﾆｰﾄﾞﾙﾊﾟﾝﾁｶｰﾍﾟｯﾄ
213,13,462,652,1,0,0,,,人工芝
214,13,471,654,1,0,0,,,床下地材
215,13,472,653,1,0,0,,,腰壁・他ｼｰﾄ
216,13,491,653,1,0,0,,,ｿﾌﾄ巾木
217,13,492,653,1,0,0,,,ｻｻﾗ巾木
218,13,493,653,1,0,0,,,ﾓｰﾙ･見切･他部材
219,13,494,653,1,0,0,,,ｴｱｺﾝ排水･他部材
220,19,401,651,1,0,0,,,ｺﾝﾎﾟｼﾞｼｮﾝﾋﾞﾆﾙ床ﾀｲﾙ
221,19,402,651,1,0,0,,,ｺﾝﾎﾟｼﾞｼｮﾝﾋﾞﾆﾙ床ﾀｲﾙ(特殊機能)
222,19,403,651,1,0,0,,,単層ﾋﾞﾆﾙ床ﾀｲﾙ
223,19,404,651,1,0,0,,,複層ﾋﾞﾆﾙ床ﾀｲﾙ
224,19,405,651,1,0,0,,,複層ﾋﾞﾆﾙ床ﾀｲﾙ(特殊機能)
225,19,406,651,1,0,0,,,置敷ﾋﾞﾆﾙ床ﾀｲﾙ
226,19,407,651,1,0,0,,,薄型置敷きﾋﾞﾆﾙ床ﾀｲﾙ
227,19,408,651,1,0,0,,,多機能ﾌﾟﾘﾝﾄﾀｲﾙ
228,19,409,651,1,0,0,,,織物ﾋﾞﾆﾙ床ﾀｲﾙ
229,19,410,651,1,0,0,,,高機能ﾀｲﾙ
230,19,411,651,1,0,0,,,ﾘﾉﾘｳﾑ床ﾀｲﾙ
231,19,412,651,1,0,0,,,ｺﾙｸﾀｲﾙ
232,19,413,651,1,0,0,,,ﾗﾊﾞｰﾀｲﾙ
233,19,414,651,1,0,0,,,視覚障がい者誘導用ﾀｲﾙ
234,19,421,651,1,0,0,,,単層ﾋﾞﾆﾙ床ｼｰﾄ
235,19,422,651,1,0,0,,,単層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能)
236,19,423,651,1,0,0,,,複層ﾋﾞﾆﾙ床ｼｰﾄ
237,19,424,651,1,0,0,,,複層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能)
238,19,425,651,1,0,0,,,発泡複層ﾋﾞﾆﾙ床ｼｰﾄ
239,19,426,651,1,0,0,,,発泡複層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能)
240,19,427,651,1,0,0,,,ｸｯｼｮﾝﾌﾛｱ
241,19,428,651,1,0,0,,,織物ﾋﾞﾆﾙ床ｼｰﾄ
242,19,429,651,1,0,0,,,長尺ｼｰﾄ(特殊機能)
243,19,430,651,1,0,0,,,ﾘﾉﾘｳﾑ床ｼｰﾄ
244,19,431,651,1,0,0,,,防滑性ﾋﾞﾆﾙ床ｼｰﾄ
245,19,432,651,1,0,0,,,防滑性ﾋﾞﾆﾙ床ｼｰﾄ(階段用)
246,19,441,652,1,0,0,,,ﾀｲﾙｶｰﾍﾟｯﾄ
247,19,442,652,1,0,0,,,ﾀｲﾙｶｰﾍﾟｯﾄ(特殊機能)
248,19,443,652,1,0,0,,,ﾌﾟﾘﾝﾄｶｰﾍﾟｯﾄﾀｲﾙ
249,19,444,652,1,0,0,,,ﾌｧﾌﾞﾃｯｸﾀｲﾙ
250,19,445,652,1,0,0,,,ﾌｧﾌﾞﾘｯｸﾌﾛｱ
251,19,446,652,1,0,0,,,住宅用ﾎｰﾑﾀｲﾙ
252,19,447,652,1,0,0,,,視覚障がい者誘導用ﾀｲﾙｶｰﾍﾟｯﾄ
253,19,451,652,1,0,0,,,ｱｷｽﾐﾝｽﾀｰｶｰﾍﾟｯﾄ
254,19,452,652,1,0,0,,,ｳｲﾙﾄﾝｶｰﾍﾟｯﾄ
255,19,453,652,1,0,0,,,ﾀﾌﾃｯﾄﾞｶｰﾍﾟｯﾄ
256,19,454,652,1,0,0,,,ｳｰﾙｶｰﾍﾟｯﾄ
257,19,455,652,1,0,0,,,ｶﾗｰﾃｯｸ
258,19,456,652,1,0,0,,,ｸﾞﾗﾌｨｶﾛｰﾙｶｰﾍﾟｯﾄ
259,19,457,652,1,0,0,,,ﾎﾟﾘﾌﾟﾛﾋﾟﾚﾝｶｰﾍﾟｯﾄ
260,19,458,652,1,0,0,,,ﾍﾞｰｼｯｸｶｰﾍﾟｯﾄ
261,19,459,652,1,0,0,,,ｶﾗｰｺﾚｸｼｮﾝ
262,19,460,652,1,0,0,,,機能性ｶｰﾍﾟｯﾄ
263,19,461,652,1,0,0,,,ﾆｰﾄﾞﾙﾊﾟﾝﾁｶｰﾍﾟｯﾄ
264,19,462,652,1,0,0,,,人工芝
265,19,471,654,1,0,0,,,床下地材
266,19,472,653,1,0,0,,,腰壁・他ｼｰﾄ
267,19,491,653,1,0,0,,,ｿﾌﾄ巾木
268,19,492,653,1,0,0,,,ｻｻﾗ巾木
269,19,493,653,1,0,0,,,ﾓｰﾙ･見切･他部材
270,19,494,653,1,0,0,,,ｴｱｺﾝ排水･他部材
271,21,571,661,1,0,0,,,量産品
272,21,572,661,1,0,0,,,一般品
273,21,573,661,1,0,0,,,中級品
274,21,574,661,1,0,0,,,高級品
275,21,575,661,1,0,0,,,特選品
276,21,576,661,1,0,0,,,和風
277,21,577,661,1,0,0,,,織物
278,21,578,661,1,0,0,,,不燃認定
279,21,579,661,1,0,0,,,環境対応
280,21,580,661,1,0,0,,,機能
281,21,581,661,1,0,0,,,扉用ﾘｱﾃｯｸ
282,21,582,661,1,0,0,,,掲示板用ｸﾛｽ
283,21,583,661,1,0,0,,,ｻﾝﾌｯﾄ
284,21,584,661,1,0,0,,,ｴｰｽｳｯﾄﾞ
285,21,585,661,1,0,0,,,ﾄﾘﾑ
286,21,586,661,1,0,0,,,ﾓｰﾙﾄﾞ
287,21,591,661,1,0,0,,,ｸﾛｽ(その他)
